frame_number,row,text
5370,0,2 ghosty.png killed 1 kenny.png
5370,1,1 pred.png killed 2 hydra.png
5370,2,no matches
5400,0,1 dashy.png killed 2 envoy.png
5400,1,2 ghosty.png killed 1 kenny.png
5400,2,no matches
5430,0,2 scrap.png killed 1 pred.png
5430,1,no matches
5430,2,no matches
5460,0,2 scrap.png killed 1 pred.png
5460,1,1 dashy.png killed 2 envoy.png
5460,2,no matches
5490,0,2 scrap.png killed 1 pred.png
5490,1,1 dashy.png killed 2 envoy.png
5490,2,no matches
5520,0,2 scrap.png killed 1 pred.png
5520,1,1 dashy.png killed 2 envoy.png
5520,2,no matches
5550,0,no matches
5550,1,1 dashy.png killed 2 envoy.png
5550,2,no matches
5580,0,2 scrap.png killed 1 pred.png
5580,1,1 dashy.png killed 2 envoy.png
5580,2,no matches
5610,0,2 scrap.png killed 1 pred.png
5610,1,1 dashy.png killed 2 envoy.png
5610,2,no matches
5640,0,2 scrap.png killed 1 pred.png
5640,1,1 dashy.png killed 2 envoy.png
5640,2,no matches
5670,0,2 scrap.png killed 1 pred.png
5670,1,1 dashy.png killed 2 envoy.png
5670,2,no matches
5700,0,2 scrap.png killed 1 pred.png
5700,1,no matches
5700,2,no matches
5730,0,2 scrap.png killed 1 pred.png
5730,1,no matches
5730,2,no matches
5760,0,1 kenny.png killed 2 ghosty.png
5760,1,no matches
5760,2,no matches
5790,0,1 kenny.png killed 2 ghosty.png
5790,1,no matches
5790,2,no matches
5820,0,1 kenny.png killed 2 ghosty.png
5820,1,no matches
5820,2,no matches
5850,0,no matches
5850,1,no matches
5850,2,no matches
5880,0,2 scrap.png killed 1 shotzzy.png
5880,1,1 kenny.png killed 2 ghosty.png
5880,2,no matches
5910,0,no matches
5910,1,1 kenny.png killed 2 ghosty.png
5910,2,no matches
5940,0,no matches
5940,1,no matches
5940,2,no matches
5970,0,no matches
5970,1,no matches
5970,2,no matches
6000,0,2 scrap.png killed 1 kenny.png
6000,1,2 scrap.png killed 1 shotzzy.png
6000,2,no matches
6030,0,2 scrap.png killed 1 kenny.png
6030,1,2 scrap.png killed 1 shotzzy.png
6030,2,no matches
6060,0,2 scrap.png killed 1 kenny.png
6060,1,2 scrap.png killed 1 shotzzy.png
6060,2,no matches
6090,0,2 scrap.png killed 1 kenny.png
6090,1,2 scrap.png killed 1 shotzzy.png
6090,2,no matches
6120,0,2 scrap.png killed 1 kenny.png
6120,1,2 scrap.png killed 1 shotzzy.png
6120,2,no matches
6150,0,2 scrap.png killed 1 kenny.png
6150,1,2 scrap.png killed 1 shotzzy.png
6150,2,no matches
6180,0,no matches
6180,1,no matches
6180,2,no matches
6210,0,2 scrap.png killed 1 kenny.png
6210,1,no matches
6210,2,no matches
6240,0,2 scrap.png killed 1 kenny.png
6240,1,no matches
6240,2,no matches
6270,0,1 dashy.png killed 2 envoy.png
6270,1,2 scrap.png killed 1 pred.png
6270,2,no matches
6300,0,no matches
6300,1,no matches
6300,2,no matches
6330,0,2 ghosty.png killed 1 shotzzy.png
6330,1,1 dashy.png killed 2 envoy.png
6330,2,no matches
6360,0,2 ghosty.png killed 1 shotzzy.png
6360,1,1 dashy.png killed 2 envoy.png
6360,2,no matches
6390,0,2 ghosty.png killed 1 shotzzy.png
6390,1,no matches
6390,2,no matches
6420,0,2 ghosty.png killed 1 shotzzy.png
6420,1,1 dashy.png killed 2 envoy.png
6420,2,2 scrap.png killed 1 pred.png
6450,0,2 ghosty.png killed 1 shotzzy.png
6450,1,1 dashy.png killed 2 envoy.png
6450,2,2 scrap.png killed 1 pred.png
6480,0,no matches
6480,1,no matches
6480,2,no matches
6510,0,no matches
6510,1,no matches
6510,2,no matches
6540,0,no matches
6540,1,no matches
6540,2,no matches
6570,0,no matches
6570,1,no matches
6570,2,no matches
6600,0,no matches
6600,1,no matches
6600,2,no matches
6630,0,2 scrap.png killed 1 dashy.png
6630,1,2 ghosty.png killed 1 shotzzy.png
6630,2,no matches
6660,0,2 scrap.png killed 1 dashy.png
6660,1,no matches
6660,2,no matches
6690,0,no matches
6690,1,no matches
6690,2,no matches
6720,0,no matches
6720,1,no matches
6720,2,no matches
6750,0,2 scrap.png killed 1 dashy.png
6750,1,no matches
6750,2,no matches
6780,0,no matches
6780,1,no matches
6780,2,no matches
6810,0,no matches
6810,1,no matches
6810,2,no matches
6840,0,no matches
6840,1,no matches
6840,2,no matches
6870,0,2 hydra.png killed 1 kenny.png
6870,1,no matches
6870,2,no matches
6900,0,2 hydra.png killed 1 kenny.png
6900,1,no matches
6900,2,no matches
6930,0,no matches
6930,1,no matches
6930,2,no matches
6960,0,no matches
6960,1,no matches
6960,2,no matches
6990,0,no matches
6990,1,no matches
